alphaPowerFP, alphaPowerP, betaByAlphaPlusThetaP, blinkFrequency, blinkDuration, freqFp_89_13_17, betaByAlpha, betaByTheta, betaByAlphaPlusThetaFP, smrPlusMidBetaByTheta, sampEn, betaPowerO, alphaThetaHarmonicLocking, alphaThetaPhaseSynchrony
6878.3, 17.3886, 0.0759, 0.0, 0.0, 0.0, 0.0254, 0.0019, 0.0018, 0.0456, 0.0137, 18.8426, 2.75, 0.4908
23.5375, 17.5289, 0.3532, 2.0, 0.0, 0.0, 0.655, 0.2968, 0.2013, 0.5998, 0.4249, 15.6457, 2.75, 0.3983
16.8912, 8.0918, 0.6186, 1.0, 0.293, 0.0, 0.9669, 0.7617, 0.426, 1.2519, 0.486, 15.3957, 1.625, 0.4002
8.5793, 13.7831, 0.42, 2.0, 0.4102, 0.0, 0.7323, 0.7208, 0.3572, 1.3181, 0.5194, 15.017, 2.0, 0.3739
9.8921, 24.0832, 0.1985, 0.0, 0.0, 0.0, 0.7742, 0.5622, 0.3255, 0.9063, 0.5377, 20.6898, 1.75, 0.3943
14.0971, 44.8437, 0.6199, 0.0, 0.0, 0.0, 3.3044, 2.6563, 1.471, 1.6676, 0.5708, 45.2734, 2.5, 0.3649
24.9074, 29.1867, 0.3989, 3.0, 0.7487, 0.0, 1.0166, 0.6777, 0.3964, 1.5315, 0.4471, 31.2523, 1.25, 0.3898
12.8179, 16.185, 0.2761, 1.0, 0.2539, 0.0, 0.6086, 0.1108, 0.0937, 0.1792, 0.4648, 15.2987, 2.5, 0.3798
16.3339, 13.5728, 0.2811, 1.0, 0.2539, 0.0, 0.65, 0.598, 0.3108, 0.8854, 0.4922, 23.9456, 2.25, 0.414
17.1554, 25.2835, 0.1829, 1.0, 0.3711, 0.0, 0.7121, 0.6614, 0.3411, 1.0749, 0.5257, 12.2981, 0.875, 0.3851
13.8472, 25.2748, 0.2066, 1.0, 0.4102, 0.0, 0.5713, 0.8924, 0.3468, 1.5546, 0.3943, 22.2406, 1.5, 0.3868
12.8707, 14.4566, 0.2978, 2.0, 0.3027, 0.0, 0.6069, 0.4225, 0.249, 0.8823, 0.4739, 9.6891, 2.25, 0.3985
4.1698, 16.578, 0.2818, 0.0, 0.0, 0.0, 1.3784, 2.4617, 0.8831, 3.2137, 0.7012, 9.5239, 2.25, 0.3653
8.936, 9.4209, 0.3662, 0.0, 0.0, 0.0, 0.8593, 0.3002, 0.2216, 0.4038, 0.5471, 9.0899, 3.25, 0.4117
9.4918, 16.2794, 0.2421, 0.0, 0.0, 0.0, 0.5357, 0.4178, 0.2335, 0.681, 0.6101, 12.1493, 1.75, 0.3702
3.8345, 12.858, 0.3648, 0.0, 0.0, 0.0, 1.2261, 1.4059, 0.6502, 1.9635, 0.6829, 11.9982, 2.125, 0.3611
6.8015, 20.2336, 0.2207, 0.0, 0.0, 0.0, 0.875, 2.1504, 0.6218, 2.8953, 0.7126, 10.3153, 2.625, 0.389
6.878, 11.2833, 0.3953, 0.0, 0.0, 0.0, 0.8536, 1.0823, 0.4772, 1.5899, 0.6942, 9.4444, 1.125, 0.3837
4.1565, 15.8942, 0.3751, 0.0, 0.0, 0.0, 1.6675, 2.0485, 0.9125, 1.7325, 0.7198, 8.4775, 2.75, 0.3302
17.4149, 15.5139, 0.2572, 1.0, 0.2539, 0.0, 0.5244, 0.2919, 0.1874, 0.6501, 0.4039, 12.7042, 1.75, 0.3822
86.5119, 34.946, 0.2435, 4.0, 0.3613, 0.0, 0.5899, 0.5376, 0.2808, 1.179, 0.2751, 16.224, 3.0, 0.4335
17.5074, 8.4094, 0.4703, 1.0, 0.3516, 0.0, 0.543, 0.0864, 0.0745, 0.18, 0.418, 14.5531, 2.5, 0.3674
8.5924, 17.0911, 0.4279, 2.0, 0.3125, 0.0, 1.0124, 0.4624, 0.3163, 0.7799, 0.5323, 13.6005, 1.125, 0.3832
15.3342, 10.6123, 0.3748, 4.0, 0.4427, 0.0, 0.8424, 0.5901, 0.3451, 1.2321, 0.4656, 19.1582, 2.5, 0.4194
87.8057, 26.4355, 0.2828, 4.0, 0.2295, 0.0, 0.7762, 0.5957, 0.3358, 1.337, 0.4298, 23.4073, 2.625, 0.4101
