Start Index, End Index, Length
0, 1252, 1253
1253, 2503, 1251
2504, 3755, 1252
3756, 5007, 1252
5008, 6259, 1252
6260, 7511, 1252
7512, 8762, 1251
8763, 10014, 1252
10015, 11264, 1250
11265, 12516, 1252
12517, 13770, 1254
13771, 15020, 1250
15021, 16271, 1251
16272, 17523, 1252
17524, 18775, 1252
18776, 20027, 1252
20028, 21279, 1252
21280, 22531, 1252
22532, 23782, 1251
23783, 25034, 1252
25035, 26284, 1250
26285, 27536, 1252
27537, 28788, 1252
28789, 30041, 1253
30042, 31291, 1250
31292, 32543, 1252
32544, 33795, 1252
33796, 35047, 1252
35048, 36298, 1251
36299, 37550, 1252
37551, 38802, 1252
38803, 40052, 1250
40053, 41304, 1252
41305, 42556, 1252
42557, 43807, 1251
43808, 45059, 1252
45060, 46311, 1252
46312, 47561, 1250
47562, 48813, 1252
48814, 50066, 1253
50067, 51318, 1252
51319, 52570, 1252
52571, 53820, 1250
53821, 55072, 1252
55073, 56323, 1251
56324, 57575, 1252
57576, 58825, 1250
58826, 60077, 1252
60078, 61329, 1252
61330, 62580, 1251
62581, 63832, 1252
63833, 65084, 1252
65085, 66338, 1254
66339, 67592, 1254
67593, 68844, 1252
68845, 70096, 1252
70097, 71348, 1252
71349, 72601, 1253
72602, 73853, 1252
73854, 75105, 1252
75106, 76359, 1254
76360, 77611, 1252
77612, 78861, 1250
78862, 80115, 1254
80116, 81368, 1253
81369, 82620, 1252
82621, 83872, 1252
83873, 85124, 1252
85125, 86378, 1254
86379, 87632, 1254
87633, 88884, 1252
88885, 90136, 1252
90137, 91388, 1252
91389, 92643, 1255
92644, 93895, 1252
93896, 95147, 1252
95148, 96399, 1252
96400, 97653, 1254
97654, 98907, 1254
98908, 100159, 1252
100160, 101409, 1250
101410, 102662, 1253
102663, 103916, 1254
103917, 105168, 1252
105169, 106418, 1250
106419, 107672, 1254
107673, 108924, 1252
108925, 110176, 1252
110177, 111427, 1251
111428, 112679, 1252
112680, 113933, 1254
113934, 115185, 1252
115186, 116437, 1252
116438, 117691, 1254
117692, 118943, 1252
118944, 120197, 1254
120198, 121448, 1251
121449, 122700, 1252
122701, 123954, 1254
123955, 125206, 1252
125207, 126460, 1254
126461, 127712, 1252
127713, 128964, 1252
128965, 130218, 1254
130219, 131470, 1252
131471, 132725, 1255
132726, 133977, 1252
133978, 135229, 1252
135230, 136483, 1254
136484, 137735, 1252
137736, 138987, 1252
138988, 140239, 1252
140240, 141491, 1252
141492, 142744, 1253
142745, 143998, 1254
143999, 145250, 1252
145251, 146502, 1252
146503, 147754, 1252
147755, 149008, 1254
149009, 150260, 1252
